failure_event_id,asset_id,location_id,event_time,failure_mode,suspected_cause,weather_context,downtime_hours,linked_work_order_id
FE0000036,AST000264,LOC0022,2023-07-14 09:48:10,Motor failure,Water Ingress,Rain,18.99,
FE0000037,AST000897,LOC0009,2024-07-21 23:17:04,Trip event,Unknown,Clear,4.8,WO0000329
FE0000038,AST000710,LOC0007,2024-09-18 04:37:50,Short circuit,Unknown,Clear,13.22,
FE0000039,AST001117,LOC0003,2025-06-14 19:33:58,Interlocking fault,Wear & Tear,Snow,6.93,
FE0000040,AST000911,LOC0017,2023-07-17 10:29:14,Motor failure,Power Quality,Clear,4.37,WO0006268
FE0000041,AST000775,LOC0007,2023-06-09 18:53:53,Door fault,Wear & Tear,Clear,11.0,
FE0000042,AST000328,LOC0012,2023-01-07 16:05:38,Bond wire issue,Wear & Tear,Clear,5.67,WO0000500
FE0000043,AST000257,LOC0004,2024-08-30 10:17:58,Track circuit failure,Improper Adjustment,Snow,5.23,WO0006035
FE0000044,AST000086,LOC0010,2025-12-12 18:21:26,Brake issue,Improper Adjustment,Clear,6.49,
FE0000045,AST000359,LOC0025,2023-10-28 01:12:57,Insulation fault,Debris,High Humidity,2.52,
FE0000046,AST000391,LOC0002,2025-04-20 15:14:13,Motor issue,Wear & Tear,High Humidity,15.09,WO0008177
FE0000047,AST000995,LOC0020,2025-07-18 18:06:20,Brake issue,Water Ingress,Clear,3.76,WO0006755
FE0000048,AST000085,LOC0009,2023-08-06 15:04:04,Control board fault,Wear & Tear,Clear,12.53,WO0002759
FE0000049,AST000088,LOC0018,2023-05-04 15:02:58,Power loss,Wear & Tear,Rain,8.43,
FE0000050,AST000535,LOC0018,2023-08-31 23:58:34,Insulation breakdown,Improper Adjustment,Heat Wave,4.47,WO0000803
FE0000051,AST000649,LOC0024,2023-11-30 14:30:53,Motor issue,Design Limitation,Clear,12.01,WO0001760
FE0000052,AST000379,LOC0025,2023-02-21 04:52:32,Control failure,Unknown,Clear,6.58,WO0004518
FE0000053,AST000016,LOC0002,2025-08-03 04:39:31,Insulation breakdown,Improper Adjustment,Clear,4.97,WO0002668
FE0000054,AST000561,LOC0023,2024-09-23 14:05:12,Short circuit,Vandalism,Clear,1.43,WO0005723
FE0000055,AST000891,LOC0015,2025-08-25 21:25:33,Track circuit failure,Power Quality,Clear,3.63,
FE0000056,AST000704,LOC0008,2023-03-15 06:15:21,Propulsion fault,Debris,Clear,4.46,WO0001296
FE0000057,AST000052,LOC0009,2023-11-08 01:28:26,Relay failure,Wear & Tear,Heat Wave,10.73,
FE0000058,AST000029,LOC0023,2023-03-22 23:57:00,Sensor fault,Water Ingress,High Humidity,11.95,WO0008135
FE0000059,AST001138,LOC0022,2024-04-25 08:09:50,Power loss,Wear & Tear,Clear,10.67,WO0004034
FE0000060,AST001155,LOC0019,2024-07-29 03:43:03,Control failure,Vandalism,Rain,7.2,
FE0000061,AST000015,LOC0014,2023-08-31 18:35:22,Motor failure,Wear & Tear,Rain,2.07,WO0000610
FE0000062,AST000802,LOC0023,2024-01-24 16:18:22,Motor failure,Wear & Tear,Rain,5.76,WO0004720
FE0000063,AST000648,LOC0024,2025-10-15 12:17:01,Motor failure,Vandalism,Rain,8.03,WO0002112
FE0000064,AST000881,LOC0018,2025-11-13 01:42:32,Heater failure,Debris,Clear,16.32,WO0004091
FE0000065,AST000272,LOC0014,2025-11-30 02:15:16,HVAC failure,Water Ingress,Clear,1.1,WO0007421
FE0000066,AST000179,LOC0006,2025-11-10 07:03:27,Door fault,Debris,Clear,14.91,
FE0000067,AST000946,LOC0021,2024-05-18 09:21:04,Interlocking fault,Water Ingress,Clear,5.24,
FE0000068,AST000567,LOC0023,2025-07-04 16:32:37,Interlocking fault,Wear & Tear,Clear,7.86,WO0007045
FE0000069,AST000292,LOC0014,2023-07-15 03:37:22,Interlocking fault,Water Ingress,Rain,12.23,WO0005792
FE0000070,AST000495,LOC0012,2025-07-20 07:29:44,Water intrusion,Water Ingress,Heat Wave,3.38,WO0004819
FE0000071,AST000202,LOC0018,2025-04-28 14:52:47,Brake issue,Wear & Tear,Clear,3.09,WO0007928
FE0000072,AST001134,LOC0005,2024-05-20 11:46:17,Propulsion fault,Wear & Tear,Rain,5.68,WO0007606
FE0000073,AST000675,LOC0003,2025-02-09 09:03:52,Interlocking fault,Wear & Tear,High Humidity,20.02,WO0000646
FE0000074,AST000589,LOC0021,2025-08-10 22:16:56,Bond wire issue,Vandalism,Clear,2.35,WO0007831
FE0000075,AST000842,LOC0005,2023-05-20 04:15:33,Motor issue,Wear & Tear,Clear,2.28,WO0002148
FE0000076,AST000058,LOC0004,2023-05-27 12:20:52,Brake issue,Power Quality,Rain,0.64,WO0007087
FE0000077,AST000171,LOC0019,2025-09-24 09:32:55,Track circuit failure,Water Ingress,High Humidity,5.34,WO0004800
FE0000078,AST001116,LOC0021,2023-11-01 22:31:20,Power loss,Wear & Tear,Clear,5.75,WO0005490
FE0000079,AST000566,LOC0025,2025-10-30 15:01:22,Door fault,Wear & Tear,Rain,13.46,WO0004195
FE0000080,AST001178,LOC0006,2023-04-27 23:23:19,Door fault,Power Quality,Clear,6.47,WO0002317
FE0000081,AST000616,LOC0021,2023-03-30 01:41:17,Bearing failure,Design Limitation,High Humidity,2.58,
FE0000082,AST000540,LOC0002,2024-10-17 21:27:54,Bearing failure,Power Quality,Clear,3.1,
FE0000083,AST000252,LOC0016,2023-03-20 18:37:26,Brake issue,Wear & Tear,Clear,6.74,WO0005183
FE0000084,AST000603,LOC0005,2025-02-10 04:18:20,Brake issue,Vandalism,Clear,10.03,WO0006292
FE0000085,AST000459,LOC0014,2025-08-17 20:17:17,Water intrusion,Improper Adjustment,Clear,4.05,WO0004041
FE0000086,AST000176,LOC0005,2023-04-25 03:23:04,Communication loss,Water Ingress,High Humidity,11.47,WO0006429
FE0000087,AST000044,LOC0017,2023-09-21 12:18:23,Power loss,Design Limitation,Clear,2.12,WO0003447
FE0000088,AST000902,LOC0004,2024-04-26 06:20:05,Handrail failure,Wear & Tear,Rain,1.57,WO0007541
FE0000089,AST000050,LOC0013,2024-05-27 02:51:59,Heater failure,Wear & Tear,Clear,6.69,WO0006322
FE0000090,AST000059,LOC0002,2025-02-11 18:33:11,Door fault,Wear & Tear,Clear,13.66,WO0002793
FE0000091,AST000734,LOC0013,2024-05-29 08:20:24,Handrail failure,Design Limitation,Clear,1.55,WO0006684
FE0000092,AST000519,LOC0018,2025-03-03 19:47:14,Control failure,Power Quality,Heat Wave,32.75,WO0005233
FE0000093,AST000984,LOC0013,2023-08-19 03:26:18,Short circuit,Wear & Tear,Clear,7.2,
FE0000094,AST000723,LOC0020,2023-01-25 01:16:30,Control failure,Vandalism,Clear,9.23,
FE0000095,AST000134,LOC0011,2024-08-04 02:30:35,Hydraulic leak,Wear & Tear,High Humidity,11.23,
FE0000096,AST000665,LOC0020,2024-12-23 06:37:05,Communication loss,Wear & Tear,Clear,5.13,
FE0000097,AST000954,LOC0020,2023-08-02 08:30:26,Relay failure,Power Quality,Rain,6.85,
FE0000098,AST000825,LOC0008,2024-06-10 17:55:34,Sensor fault,Water Ingress,Clear,7.4,WO0002030
FE0000099,AST000783,LOC0012,2025-11-13 04:21:58,Heater failure,Water Ingress,Rain,7.1,WO0002162
FE0000100,AST001142,LOC0021,2024-02-07 21:18:56,Vibration high,Power Quality,Rain,3.17,WO0004971
FE0000101,AST000747,LOC0006,2023-01-31 07:31:10,Interlocking fault,Power Quality,Clear,10.98,WO0002209
FE0000102,AST000315,LOC0008,2025-05-10 12:49:51,Motor issue,Wear & Tear,Clear,4.6,
FE0000103,AST000023,LOC0021,2024-12-29 16:41:58,Overheating,Water Ingress,Rain,11.12,
FE0000104,AST000536,LOC0022,2024-12-31 09:54:05,Step chain issue,Wear & Tear,Clear,7.71,
FE0000105,AST000556,LOC0004,2025-10-12 11:35:42,Trip event,Wear & Tear,Clear,2.25,WO0000631
FE0000106,AST000083,LOC0009,2025-04-29 21:52:08,HVAC failure,Wear & Tear,Clear,20.97,WO0004276
FE0000107,AST000846,LOC0006,2024-08-06 06:27:46,Door fault,Wear & Tear,Clear,2.29,WO0008073
FE0000108,AST000475,LOC0012,2023-11-10 16:31:15,Door fault,Wear & Tear,Heat Wave,8.31,WO0004274
FE0000109,AST000540,LOC0002,2025-09-22 02:54:42,Power loss,Wear & Tear,Rain,1.58,WO0006061
FE0000110,AST000070,LOC0012,2023-11-23 16:41:58,Handrail failure,Wear & Tear,High Humidity,17.89,WO0003243
FE0000111,AST000170,LOC0003,2025-07-02 22:47:20,Bearing failure,Power Quality,Clear,9.63,WO0001216
FE0000112,AST000618,LOC0001,2025-04-07 10:11:55,Bearing failure,Design Limitation,High Humidity,4.65,WO0005469
FE0000113,AST000214,LOC0020,2023-07-11 13:27:54,Overheating,Water Ingress,Clear,3.38,WO0000868
FE0000114,AST001098,LOC0007,2023-12-26 06:48:19,Track circuit failure,Water Ingress,Clear,2.97,WO0004756
FE0000115,AST000421,LOC0003,2023-05-18 21:52:24,Step chain issue,Debris,Clear,10.7,
FE0000116,AST000930,LOC0023,2025-05-16 14:45:15,Brake issue,Water Ingress,Clear,3.69,WO0005790
FE0000117,AST000789,LOC0018,2024-04-21 12:21:03,Sensor fault,Debris,Rain,12.62,WO0008209
FE0000118,AST000165,LOC0004,2023-04-28 11:56:57,Bearing failure,Debris,Clear,9.59,WO0004671
FE0000119,AST000692,LOC0002,2024-04-05 13:50:59,Control board fault,Wear & Tear,Rain,6.34,
FE0000120,AST000733,LOC0011,2025-10-07 04:35:43,Door fault,Debris,Clear,1.79,WO0003085
FE0000121,AST001026,LOC0020,2025-11-22 05:15:30,Door fault,Wear & Tear,Heat Wave,8.02,
FE0000122,AST000628,LOC0010,2024-06-12 00:48:02,Heater failure,Wear & Tear,Rain,13.38,WO0001019
FE0000123,AST000349,LOC0005,2024-07-11 07:12:43,Relay failure,Improper Adjustment,Clear,10.17,WO0001673
FE0000124,AST000656,LOC0012,2025-02-07 01:58:06,Alignment issue,Wear & Tear,Clear,11.56,
FE0000125,AST001011,LOC0020,2025-04-10 01:20:30,Interlocking fault,Water Ingress,Clear,3.88,
FE0000126,AST000188,LOC0023,2025-08-25 04:21:03,Bond wire issue,Vandalism,Clear,19.06,
FE0000127,AST000451,LOC0018,2023-02-09 11:14:04,Control board fault,Vandalism,Heat Wave,6.1,WO0008945
FE0000128,AST000652,LOC0024,2024-07-04 09:00:11,Bond wire issue,Water Ingress,Rain,6.82,WO0006807
FE0000129,AST000677,LOC0014,2025-03-08 02:32:19,Water intrusion,Wear & Tear,Clear,3.03,WO0002189
FE0000130,AST001157,LOC0017,2023-03-30 14:16:42,Insulation breakdown,Improper Adjustment,Rain,9.12,WO0004903
FE0000131,AST001146,LOC0013,2025-07-13 16:03:27,Relay failure,Water Ingress,Heat Wave,4.72,
FE0000132,AST000486,LOC0005,2025-06-22 10:31:20,Propulsion fault,Unknown,Clear,3.17,WO0007153
FE0000133,AST000979,LOC0001,2024-02-24 14:50:54,Alignment issue,Water Ingress,Rain,30.81,WO0002825
FE0000134,AST000078,LOC0013,2024-06-13 15:03:24,Track circuit failure,Wear & Tear,Clear,11.99,
FE0000135,AST000671,LOC0001,2024-06-05 19:19:17,Door fault,Design Limitation,Clear,11.08,WO0002445
FE0000136,AST000222,LOC0015,2023-01-03 15:12:27,Sensor fault,Water Ingress,Clear,1.99,WO0008016
FE0000137,AST000040,LOC0024,2024-08-02 20:03:18,Step chain issue,Power Quality,Clear,2.79,WO0003511
FE0000138,AST001113,LOC0001,2025-04-27 21:00:36,Door fault,Improper Adjustment,Clear,19.96,WO0008276
FE0000139,AST001165,LOC0002,2023-08-16 07:09:52,Obstruction,Wear & Tear,Heat Wave,3.45,WO0003887
FE0000140,AST001166,LOC0017,2023-07-11 12:26:22,Bond wire issue,Improper Adjustment,Heat Wave,27.86,
FE0000141,AST001041,LOC0002,2024-02-26 00:14:27,Overheating,Wear & Tear,Clear,3.59,WO0008573
FE0000142,AST000212,LOC0021,2023-03-23 00:09:11,Relay failure,Debris,Clear,10.87,
FE0000143,AST000150,LOC0010,2024-05-31 06:14:14,Door fault,Water Ingress,Clear,2.36,WO0004910
FE0000144,AST000085,LOC0009,2024-12-21 11:35:31,Control board fault,Wear & Tear,Rain,12.47,WO0002759
FE0000145,AST000600,LOC0004,2023-07-22 12:19:01,Alignment issue,Improper Adjustment,Clear,5.17,WO0002685
FE0000146,AST001156,LOC0025,2024-11-04 03:59:53,Motor issue,Water Ingress,Clear,5.06,WO0000121
FE0000147,AST001088,LOC0008,2025-12-16 18:04:10,Interlocking fault,Power Quality,Clear,22.97,WO0006393
FE0000148,AST000858,LOC0015,2023-01-23 15:26:36,Communication loss,Water Ingress,Clear,4.72,WO0002630
FE0000149,AST001039,LOC0001,2024-01-03 01:14:33,Alignment issue,Wear & Tear,Rain,14.97,WO0008171
FE0000150,AST001131,LOC0003,2024-11-26 11:23:47,Door fault,Water Ingress,Clear,10.81,WO0001734
FE0000151,AST000951,LOC0023,2024-06-04 08:30:01,Insulation fault,Design Limitation,Rain,5.64,
FE0000152,AST001140,LOC0005,2023-03-09 04:11:24,Door fault,Wear & Tear,Clear,3.06,WO0001630
FE0000153,AST001141,LOC0008,2023-07-15 01:14:49,Overheating,Water Ingress,High Humidity,2.26,WO0001158
FE0000154,AST000490,LOC0009,2024-09-12 17:01:24,Bond wire issue,Water Ingress,Clear,2.03,
FE0000155,AST000051,LOC0005,2025-11-07 08:46:58,Door fault,Debris,Rain,1.16,WO0000652
FE0000156,AST000288,LOC0011,2023-10-08 06:35:07,Door fault,Improper Adjustment,Clear,16.12,WO0006380
FE0000157,AST001157,LOC0017,2025-03-24 09:59:47,Insulation breakdown,Wear & Tear,Snow,2.86,WO0004903
FE0000158,AST000304,LOC0002,2024-11-05 16:56:21,Hydraulic leak,Water Ingress,Clear,11.09,WO0000343
FE0000159,AST000238,LOC0025,2023-03-22 19:02:02,Alignment issue,Power Quality,Heat Wave,2.19,WO0004770
FE0000160,AST000777,LOC0002,2023-12-12 17:41:11,Overheating,Wear & Tear,Clear,22.7,WO0002036
FE0000161,AST000107,LOC0011,2023-12-25 23:45:10,Motor issue,Wear & Tear,Clear,6.73,
FE0000162,AST001065,LOC0018,2024-03-22 02:51:22,Brake issue,Water Ingress,Clear,7.96,WO0003317
FE0000163,AST000369,LOC0006,2025-08-07 06:03:09,Hydraulic leak,Wear & Tear,Clear,13.17,WO0002054
FE0000164,AST001048,LOC0014,2025-05-21 22:46:18,Propulsion fault,Wear & Tear,Clear,1.86,WO0008812
FE0000165,AST000585,LOC0025,2023-11-13 20:21:12,Insulation fault,Vandalism,Clear,0.66,WO0008486
FE0000166,AST000591,LOC0007,2023-05-31 14:19:18,Motor failure,Debris,Clear,9.73,WO0000421
FE0000167,AST000657,LOC0001,2025-04-09 14:42:19,Bearing failure,Wear & Tear,Clear,1.58,
FE0000168,AST000542,LOC0011,2023-10-24 19:06:12,Propulsion fault,Power Quality,Clear,10.03,WO0004354
FE0000169,AST000005,LOC0011,2024-08-18 01:52:50,HVAC failure,Wear & Tear,Clear,24.68,
FE0000170,AST001002,LOC0011,2025-04-03 18:50:57,Short circuit,Design Limitation,Clear,5.22,WO0007339
FE0000171,AST000796,LOC0007,2023-09-08 08:33:49,Motor failure,Wear & Tear,Rain,1.33,WO0006223
FE0000172,AST000290,LOC0007,2023-04-21 21:56:25,Bond wire issue,Design Limitation,Rain,1.01,WO0000129
FE0000173,AST000559,LOC0024,2023-08-25 20:44:08,Handrail failure,Wear & Tear,Clear,4.08,WO0001617
FE0000174,AST000975,LOC0019,2025-06-07 12:34:30,Bond wire issue,Unknown,Clear,5.46,
FE0000175,AST001187,LOC0001,2025-09-04 22:15:15,Brake issue,Water Ingress,Rain,6.03,WO0004163
FE0000176,AST000459,LOC0014,2025-07-16 12:13:51,Water intrusion,Wear & Tear,Clear,7.27,
FE0000177,AST000776,LOC0017,2023-09-25 23:18:22,Control failure,Wear & Tear,Heat Wave,2.81,WO0007788
FE0000178,AST000858,LOC0015,2023-12-13 15:51:02,Track circuit failure,Wear & Tear,Rain,6.64,WO0001768
FE0000179,AST000130,LOC0010,2025-02-11 15:05:57,Trip event,Vandalism,Clear,7.22,
FE0000180,AST000345,LOC0024,2025-05-27 20:58:47,Track circuit failure,Wear & Tear,Clear,1.7,WO0004634
FE0000181,AST001117,LOC0003,2023-01-12 21:33:17,Interlocking fault,Improper Adjustment,Clear,4.15,WO0004738
FE0000182,AST000542,LOC0011,2023-08-15 22:10:27,Door fault,Water Ingress,Heat Wave,8.82,
FE0000183,AST000318,LOC0016,2025-08-29 07:47:45,Sensor fault,Water Ingress,Clear,3.36,WO0000514
FE0000184,AST000695,LOC0015,2024-08-28 18:36:59,Control board fault,Vandalism,Rain,14.21,
FE0000185,AST000289,LOC0025,2025-08-14 01:00:44,Heater failure,Improper Adjustment,Snow,12.03,WO0000501
FE0000186,AST000968,LOC0014,2023-06-22 12:08:42,Control board fault,Wear & Tear,Clear,1.93,WO0005307
FE0000187,AST001122,LOC0019,2024-02-12 23:09:54,Bearing failure,Vandalism,Rain,4.03,WO0001767
FE0000188,AST000787,LOC0022,2024-02-17 12:36:53,Motor issue,Improper Adjustment,Clear,2.24,WO0001159
FE0000189,AST000789,LOC0018,2024-10-05 10:33:00,Hydraulic leak,Vandalism,Clear,5.6,WO0008209
FE0000190,AST000411,LOC0006,2023-07-09 18:21:36,Door fault,Wear & Tear,Rain,5.74,WO0007244
FE0000191,AST000630,LOC0021,2024-12-22 00:05:29,Insulation fault,Wear & Tear,Rain,3.76,WO0003584
FE0000192,AST000991,LOC0017,2025-03-21 10:33:16,Brake issue,Wear & Tear,Clear,6.62,
FE0000193,AST000677,LOC0014,2024-05-13 02:39:38,Insulation breakdown,Design Limitation,Clear,3.97,WO0002189
FE0000194,AST000123,LOC0019,2024-08-29 11:06:00,Step chain issue,Wear & Tear,Heat Wave,4.5,
FE0000195,AST000663,LOC0024,2023-04-09 12:59:40,HVAC failure,Wear & Tear,Rain,9.33,WO0007760
FE0000196,AST000106,LOC0010,2023-02-17 09:50:56,Communication loss,Wear & Tear,Clear,9.9,WO0008886
FE0000197,AST000433,LOC0019,2024-09-01 10:16:51,Insulation breakdown,Water Ingress,Rain,9.16,
FE0000198,AST001144,LOC0002,2025-08-24 09:49:23,Interlocking fault,Vandalism,High Humidity,5.52,WO0006735
FE0000199,AST000540,LOC0002,2023-06-30 15:32:52,Vibration high,Wear & Tear,High Humidity,3.69,WO0004896
FE0000200,AST001098,LOC0007,2025-01-26 16:13:35,Interlocking fault,Water Ingress,Clear,7.52,WO0001377
FE0000201,AST000576,LOC0015,2024-01-31 14:58:42,Water intrusion,Power Quality,Clear,7.95,WO0004696
FE0000202,AST000487,LOC0016,2023-01-18 21:16:37,Bearing failure,Vandalism,Clear,5.37,WO0000812
FE0000203,AST000681,LOC0025,2024-07-22 02:53:20,Brake issue,Wear & Tear,Heat Wave,6.41,
FE0000204,AST000753,LOC0008,2025-06-20 09:06:30,Sensor fault,Improper Adjustment,Clear,51.04,WO0005302
FE0000205,AST000861,LOC0021,2024-03-06 17:44:10,Propulsion fault,Water Ingress,Clear,7.35,
FE0000206,AST000338,LOC0020,2023-12-01 17:38:35,Interlocking fault,Debris,Clear,5.74,WO0002096
FE0000207,AST000141,LOC0011,2025-07-28 00:19:10,Sensor fault,Improper Adjustment,Clear,14.99,WO0008850
FE0000208,AST000580,LOC0011,2023-03-14 22:28:28,Insulation breakdown,Power Quality,Rain,8.97,WO0004234
FE0000209,AST000774,LOC0013,2024-08-20 11:54:12,Door fault,Water Ingress,Heat Wave,22.57,WO0000076
FE0000210,AST000189,LOC0011,2023-05-27 03:17:13,Propulsion fault,Improper Adjustment,Clear,8.05,WO0004254
FE0000211,AST000036,LOC0023,2023-03-12 20:44:33,Trip event,Vandalism,Clear,7.51,WO0002050
FE0000212,AST000920,LOC0004,2025-11-09 07:50:20,Propulsion fault,Water Ingress,Clear,17.66,WO0007400
FE0000213,AST000519,LOC0018,2025-01-31 01:22:33,Overheating,Wear & Tear,Clear,16.59,WO0005403
FE0000214,AST000821,LOC0024,2024-11-26 18:08:56,Obstruction,Design Limitation,Rain,4.38,WO0005028
FE0000215,AST000010,LOC0007,2024-02-09 07:28:36,Propulsion fault,Improper Adjustment,Clear,0.9,WO0007396
FE0000216,AST001004,LOC0005,2025-12-14 20:34:12,HVAC failure,Vandalism,Rain,8.79,
FE0000217,AST001104,LOC0019,2025-10-20 05:05:06,Relay failure,Vandalism,Rain,10.71,WO0004353
FE0000218,AST000142,LOC0017,2025-11-12 20:10:59,Brake issue,Power Quality,Clear,4.42,WO0001374
FE0000219,AST000184,LOC0016,2025-12-08 11:20:44,Obstruction,Power Quality,Clear,8.74,WO0002155
FE0000220,AST000667,LOC0015,2023-09-13 16:52:22,Bearing failure,Power Quality,Clear,1.37,WO0008464
FE0000221,AST000202,LOC0018,2025-10-10 09:18:43,Brake issue,Water Ingress,Clear,3.62,WO0008066
FE0000222,AST000316,LOC0010,2023-10-04 14:39:43,Power loss,Wear & Tear,Clear,1.85,WO0004211
FE0000223,AST000985,LOC0006,2023-04-06 14:10:07,HVAC failure,Wear & Tear,Clear,7.65,WO0007186
FE0000224,AST000906,LOC0002,2025-03-03 19:55:58,Sensor fault,Power Quality,Heat Wave,2.66,WO0001622
FE0000225,AST001148,LOC0002,2024-08-08 19:45:23,Door fault,Improper Adjustment,Rain,13.55,WO0008868
FE0000226,AST001083,LOC0006,2024-04-25 21:19:04,HVAC failure,Wear & Tear,Clear,4.38,WO0008980
FE0000227,AST000369,LOC0006,2024-09-26 18:01:47,Hydraulic leak,Power Quality,Rain,5.64,WO0002054
FE0000228,AST001187,LOC0001,2023-05-20 20:19:33,Propulsion fault,Water Ingress,Clear,5.96,WO0008995
FE0000229,AST000528,LOC0019,2023-07-29 08:44:05,Relay failure,Water Ingress,Clear,2.69,
FE0000230,AST000673,LOC0018,2024-01-08 13:13:27,Motor failure,Wear & Tear,Clear,5.6,WO0008747
FE0000231,AST000446,LOC0014,2023-01-15 09:46:06,Track circuit failure,Debris,Rain,4.32,WO0003421
FE0000232,AST000704,LOC0008,2023-01-13 00:08:42,HVAC failure,Wear & Tear,Clear,4.01,WO0008718
FE0000233,AST000614,LOC0007,2023-12-07 12:28:11,Overheating,Wear & Tear,Clear,7.6,WO0003677
FE0000234,AST000363,LOC0023,2025-02-23 04:43:50,Alignment issue,Improper Adjustment,Clear,2.46,WO0008366
FE0000235,AST000640,LOC0014,2024-01-15 15:18:44,Track circuit failure,Power Quality,Rain,4.71,WO0005069
FE0000236,AST000859,LOC0001,2023-02-09 09:15:07,Track circuit failure,Wear & Tear,Clear,5.14,WO0005297
FE0000237,AST000627,LOC0019,2023-05-12 12:08:22,Heater failure,Wear & Tear,Clear,6.74,WO0003217
FE0000238,AST001009,LOC0019,2024-11-02 23:50:48,HVAC failure,Wear & Tear,Clear,6.76,WO0002969
FE0000239,AST001066,LOC0004,2024-10-20 21:55:32,Relay failure,Wear & Tear,Clear,7.68,WO0003572
FE0000240,AST000506,LOC0024,2024-09-17 13:34:39,Propulsion fault,Power Quality,Heat Wave,4.03,WO0004882
FE0000241,AST000916,LOC0025,2023-10-16 11:09:55,Short circuit,Water Ingress,Rain,3.35,WO0001108
FE0000242,AST001115,LOC0022,2023-01-29 14:27:03,Control failure,Vandalism,Clear,0.81,
FE0000243,AST000918,LOC0005,2025-08-28 17:26:07,Brake issue,Design Limitation,Clear,4.7,WO0004647
FE0000244,AST000576,LOC0015,2024-06-26 18:48:28,Bond wire issue,Debris,Rain,4.07,WO0007314
