work_order_id,asset_id,location_id,work_order_type,priority,status,request_channel,created_at,completed_at,assigned_technician_id,planned_hours,labor_cost_usd,parts_cost_usd,total_cost_usd
WO0000033,AST000063,LOC0021,Emergency,P3,Closed,Mobile,2023-07-03 15:50:48,2023-07-10 15:50:48,TECH0008,9.81,718.23,596.95,1315.18
WO0000034,AST000661,LOC0007,Emergency,P3,Closed,Mobile,2024-06-13 06:11:32,2024-06-25 06:11:32,TECH0040,17.06,1346.42,314.1,1660.52
WO0000035,AST000064,LOC0022,Preventive,P2,Closed,Web,2023-06-19 09:06:26,2023-07-01 09:06:26,TECH0058,3.16,198.79,86.48,285.27
WO0000036,AST000067,LOC0002,Corrective,P3,Closed,Phone,2025-05-14 19:18:36,2025-05-29 19:18:36,TECH0069,7.75,604.08,62.83,666.91
WO0000037,AST000369,LOC0006,Corrective,P1,Backlog,Phone,2023-03-22 01:22:44,,TECH0048,23.35,1621.73,194.51,1816.24
WO0000038,AST001198,LOC0018,Preventive,P3,Closed,Mobile,2024-06-30 15:33:10,2024-07-17 15:33:10,TECH0031,2.16,149.15,80.21,229.36
WO0000039,AST000600,LOC0004,Preventive,P3,Closed,Mobile,2024-03-04 10:33:36,2024-03-18 10:33:36,TECH0037,3.09,174.46,203.14,377.6
WO0000040,AST000919,LOC0022,Preventive,P3,In Progress,Web,2023-02-10 17:03:41,,TECH0003,1.52,108.84,175.13,283.97
WO0000041,AST000958,LOC0022,Preventive,P4,Closed,Web,2023-02-27 06:30:11,2023-03-13 06:30:11,TECH0063,9.14,570.86,117.36,688.22
WO0000042,AST001173,LOC0025,Emergency,P2,Closed,Mobile,2024-07-21 22:27:18,2024-07-21 22:27:18,TECH0004,3.71,310.19,65.43,375.62
WO0000043,AST001108,LOC0018,Inspection,P4,Closed,Web,2024-03-08 03:35:27,2024-03-12 03:35:27,TECH0069,0.5,32.49,54.38,86.87
WO0000044,AST000404,LOC0002,Preventive,P2,Closed,Mobile,2023-05-23 01:44:12,2023-06-07 01:44:12,TECH0012,13.9,878.24,52.09,930.33
WO0000045,AST001077,LOC0004,Corrective,P4,Closed,Phone,2023-06-01 12:54:01,2023-06-04 12:54:01,TECH0065,1.07,83.22,174.17,257.39
WO0000046,AST000152,LOC0007,Preventive,P1,Closed,Mobile,2025-05-31 06:49:12,2025-06-18 06:49:12,TECH0018,12.14,799.31,75.79,875.1
WO0000047,AST000679,LOC0009,Preventive,P3,Backlog,Mobile,2025-03-10 22:16:13,,TECH0003,5.56,314.04,297.14,611.18
WO0000048,AST000896,LOC0017,Preventive,P2,Backlog,Mobile,2024-10-27 12:41:04,,TECH0047,4.72,234.51,37.59,272.1
WO0000049,AST000916,LOC0025,Corrective,P2,Closed,Mobile,2025-07-01 12:46:13,2025-07-06 12:46:13,TECH0068,5.13,287.54,119.12,406.66
WO0000050,AST000885,LOC0008,Corrective,P1,In Progress,Phone,2023-03-17 21:22:45,,TECH0048,10.54,492.62,281.79,774.41
WO0000051,AST001010,LOC0015,Inspection,P2,Closed,Auto Alert,2025-01-23 03:47:21,2025-01-28 03:47:21,TECH0023,7.16,458.68,117.02,575.7
WO0000052,AST001045,LOC0021,Inspection,P1,Closed,Web,2025-04-04 00:26:43,2025-04-23 00:26:43,TECH0060,0.55,40.48,171.86,212.34
WO0000053,AST000780,LOC0011,Preventive,P1,Closed,Auto Alert,2023-08-08 12:59:10,2023-08-18 12:59:10,TECH0042,2.7,160.14,189.13,349.27
WO0000054,AST000009,LOC0008,Inspection,P3,Closed,Mobile,2024-08-10 07:46:46,2024-08-20 07:46:46,TECH0001,1.57,141.8,92.54,234.34
WO0000055,AST000141,LOC0011,Preventive,P3,Closed,Auto Alert,2025-04-19 16:46:13,2025-04-30 16:46:13,TECH0014,3.46,175.86,262.65,438.51
WO0000056,AST000705,LOC0018,Preventive,P1,In Progress,Web,2024-10-22 19:15:24,,TECH0048,9.19,646.06,303.17,949.23
WO0000057,AST000847,LOC0008,Corrective,P4,In Progress,Mobile,2023-10-01 04:51:54,,TECH0005,4.34,300.99,624.29,925.28
WO0000058,AST000171,LOC0019,Preventive,P3,Closed,Auto Alert,2024-12-28 21:38:13,2025-01-02 21:38:13,TECH0040,4.71,286.22,361.64,647.86
WO0000059,AST000111,LOC0019,Preventive,P2,Closed,Mobile,2025-04-11 15:21:37,2025-04-11 15:21:37,TECH0022,3.37,213.8,164.87,378.67
WO0000060,AST000575,LOC0020,Preventive,P2,Closed,Web,2023-01-11 15:10:25,2023-01-27 15:10:25,TECH0018,3.33,271.82,54.07,325.89
WO0000061,AST001100,LOC0019,Preventive,P3,Backlog,Web,2024-09-13 07:12:29,,TECH0037,2.23,168.88,213.82,382.7
WO0000062,AST001200,LOC0009,Emergency,P3,Closed,Phone,2024-07-06 13:14:15,2024-07-23 13:14:15,TECH0042,24.93,1853.71,657.73,2511.44
WO0000063,AST000232,LOC0020,Preventive,P4,Closed,Mobile,2024-02-06 13:12:17,2024-02-18 13:12:17,TECH0040,1.81,100.72,160.7,261.42
WO0000064,AST000895,LOC0023,Corrective,P3,Backlog,Mobile,2023-02-18 10:33:30,,TECH0011,5.42,379.17,289.16,668.33
WO0000065,AST000920,LOC0004,Emergency,P4,Closed,Phone,2023-04-02 10:10:46,2023-04-16 10:10:46,TECH0049,6.2,453.63,91.8,545.43
WO0000066,AST000318,LOC0016,Corrective,P3,In Progress,Web,2025-04-01 10:23:43,,TECH0002,18.74,1380.28,190.62,1570.9
WO0000067,AST000997,LOC0001,Corrective,P4,Closed,Web,2025-06-25 02:56:59,2025-06-28 02:56:59,TECH0030,2.61,133.19,125.13,258.32
WO0000068,AST000750,LOC0014,Emergency,P3,Backlog,Web,2024-04-04 02:03:30,,TECH0034,14.48,990.53,119.04,1109.57
WO0000069,AST001109,LOC0017,Preventive,P3,Backlog,Mobile,2025-10-25 22:04:43,,TECH0039,13.44,918.12,83.33,1001.45
WO0000070,AST000578,LOC0021,Preventive,P3,Closed,Web,2025-10-12 18:56:22,2025-10-31 18:56:22,TECH0045,3.17,241.54,199.67,441.21
WO0000071,AST000280,LOC0007,Corrective,P3,Closed,Mobile,2024-12-30 04:19:09,2024-12-30 04:19:09,TECH0059,2.39,149.04,196.92,345.96
WO0000072,AST000544,LOC0022,Corrective,P1,Closed,Auto Alert,2024-09-28 02:39:16,2024-10-15 02:39:16,TECH0039,9.26,495.07,91.05,586.12
WO0000073,AST000427,LOC0007,Inspection,P1,Closed,Phone,2025-11-22 04:09:08,2025-11-30 04:09:08,TECH0052,3.94,218.73,49.74,268.47
WO0000074,AST000079,LOC0014,Preventive,P2,Closed,Mobile,2024-10-29 17:30:12,2024-11-15 17:30:12,TECH0056,7.48,513.37,239.28,752.65
WO0000075,AST000108,LOC0021,Corrective,P2,Closed,Web,2025-10-19 20:26:53,2025-11-05 20:26:53,TECH0030,25.11,1923.92,416.51,2340.43
WO0000076,AST000774,LOC0013,Corrective,P4,Closed,Mobile,2025-12-07 23:39:13,2025-12-22 23:39:13,TECH0017,7.39,453.3,139.38,592.68
WO0000077,AST000735,LOC0003,Emergency,P3,Backlog,Auto Alert,2023-08-02 02:18:31,,TECH0048,8.39,569.91,505.74,1075.65
WO0000078,AST000736,LOC0005,Preventive,P1,Closed,Web,2024-12-24 10:38:07,2024-12-26 10:38:07,TECH0024,2.91,129.53,240.3,369.83
WO0000079,AST000271,LOC0001,Preventive,P2,Closed,Mobile,2025-03-11 16:15:37,2025-03-21 16:15:37,TECH0010,4.2,183.51,296.7,480.21
WO0000080,AST000109,LOC0013,Emergency,P2,In Progress,Web,2025-06-16 23:47:06,,TECH0042,4.76,332.06,272.85,604.91
WO0000081,AST001032,LOC0011,Corrective,P4,In Progress,Mobile,2024-01-18 11:43:50,,TECH0019,3.52,244.93,31.11,276.04
WO0000082,AST000155,LOC0003,Preventive,P4,Closed,Web,2025-08-01 10:56:54,2025-08-03 10:56:54,TECH0028,1.76,126.98,90.69,217.67
WO0000083,AST001084,LOC0007,Preventive,P2,Closed,Auto Alert,2024-06-17 19:57:22,2024-06-26 19:57:22,TECH0034,2.97,130.96,266.41,397.37
WO0000084,AST000553,LOC0004,Inspection,P2,Closed,Auto Alert,2024-02-28 13:57:38,2024-03-07 13:57:38,TECH0055,4.35,346.03,22.94,368.97
WO0000085,AST000598,LOC0001,Corrective,P4,Backlog,Phone,2023-06-21 21:03:05,,TECH0045,5.07,301.14,222.76,523.9
WO0000086,AST000646,LOC0022,Corrective,P3,Closed,Phone,2023-12-18 17:12:12,2023-12-21 17:12:12,TECH0001,15.55,916.53,57.29,973.82
WO0000087,AST000879,LOC0023,Inspection,P4,Closed,Web,2025-12-03 09:12:12,2025-12-12 09:12:12,TECH0008,1.63,116.82,37.39,154.21
WO0000088,AST000230,LOC0024,Preventive,P2,Backlog,Mobile,2025-02-23 05:42:23,,TECH0054,11.26,741.14,25.17,766.31
WO0000089,AST000146,LOC0004,Preventive,P2,Closed,Mobile,2025-03-06 02:53:25,2025-03-16 02:53:25,TECH0065,3.68,301.5,163.42,464.92
WO0000090,AST000999,LOC0012,Corrective,P3,Backlog,Phone,2025-09-07 17:40:52,,TECH0057,19.71,1422.98,172.52,1595.5
WO0000091,AST000113,LOC0019,Inspection,P1,In Progress,Phone,2023-10-20 06:21:01,,TECH0013,4.31,346.61,26.74,373.35
WO0000092,AST000851,LOC0021,Preventive,P4,Closed,Mobile,2024-12-25 09:30:16,2025-01-10 09:30:16,TECH0050,2.2,133.83,117.58,251.41
WO0000093,AST000079,LOC0014,Corrective,P3,Backlog,Web,2024-02-11 18:16:33,,TECH0007,4.14,319.88,230.06,549.94
WO0000094,AST000271,LOC0001,Preventive,P2,Closed,Mobile,2025-07-17 13:11:18,2025-07-18 13:11:18,TECH0039,4.48,191.7,47.53,239.23
WO0000095,AST000779,LOC0014,Preventive,P3,Backlog,Mobile,2024-04-07 14:51:04,,TECH0022,3.65,234.18,58.62,292.8
WO0000096,AST000965,LOC0020,Inspection,P3,Closed,Phone,2025-07-25 02:13:53,2025-08-11 02:13:53,TECH0018,7.06,364.01,35.23,399.24
WO0000097,AST000109,LOC0013,Preventive,P4,Closed,Web,2025-03-29 13:11:10,2025-04-16 13:11:10,TECH0025,2.9,192.31,20.0,212.31
WO0000098,AST000703,LOC0013,Preventive,P2,Closed,Phone,2025-04-25 06:55:48,2025-04-28 06:55:48,TECH0011,12.58,840.89,226.68,1067.57
WO0000099,AST000024,LOC0012,Inspection,P3,Closed,Mobile,2025-10-10 15:19:26,2025-10-14 15:19:26,TECH0066,6.94,517.52,95.32,612.84
WO0000100,AST000381,LOC0024,Preventive,P2,Closed,Phone,2025-05-15 17:39:18,2025-06-02 17:39:18,TECH0063,10.1,682.38,48.33,730.71
WO0000101,AST001016,LOC0004,Corrective,P4,Closed,Auto Alert,2023-12-18 23:26:48,2023-12-20 23:26:48,TECH0064,8.15,470.31,162.81,633.12
WO0000102,AST000995,LOC0020,Inspection,P3,Closed,Mobile,2024-07-25 01:25:17,2024-08-03 01:25:17,TECH0070,1.3,78.57,3.51,82.08
WO0000103,AST000611,LOC0022,Preventive,P2,Closed,Mobile,2024-06-01 09:18:08,2024-06-18 09:18:08,TECH0061,9.31,624.37,476.43,1100.8
WO0000104,AST000615,LOC0020,Corrective,P3,Closed,Web,2023-03-12 17:09:27,2023-03-13 17:09:27,TECH0012,12.75,746.85,124.56,871.41
WO0000105,AST000245,LOC0015,Preventive,P3,In Progress,Web,2024-10-11 13:29:42,,TECH0033,10.92,840.27,113.34,953.61
WO0000106,AST000525,LOC0014,Preventive,P3,In Progress,Web,2024-04-23 23:36:47,,TECH0027,0.93,57.0,134.44,191.44
WO0000107,AST000120,LOC0020,Corrective,P2,In Progress,Mobile,2024-03-06 17:04:48,,TECH0001,14.8,1114.23,222.99,1337.22
WO0000108,AST000020,LOC0014,Preventive,P3,In Progress,Phone,2023-05-01 00:46:52,,TECH0017,0.96,55.93,88.44,144.37
WO0000109,AST000275,LOC0002,Inspection,P4,Closed,Web,2024-07-06 01:53:06,2024-07-09 01:53:06,TECH0050,4.04,287.92,53.31,341.23
WO0000110,AST000986,LOC0022,Emergency,P2,Closed,Auto Alert,2024-09-26 01:08:41,2024-10-08 01:08:41,TECH0015,14.29,899.09,162.77,1061.86
WO0000111,AST000497,LOC0001,Inspection,P2,In Progress,Web,2023-04-26 17:59:47,,TECH0042,1.85,141.85,17.31,159.16
WO0000112,AST000332,LOC0018,Preventive,P4,Closed,Auto Alert,2024-11-26 06:09:10,2024-12-11 06:09:10,TECH0050,3.74,314.73,65.55,380.28
WO0000113,AST000125,LOC0021,Preventive,P3,In Progress,Web,2023-07-03 14:28:58,,TECH0001,3.98,267.03,194.69,461.72
WO0000114,AST000349,LOC0005,Inspection,P3,Closed,Web,2023-06-08 18:46:11,2023-06-17 18:46:11,TECH0066,4.66,391.56,106.93,498.49
WO0000115,AST000529,LOC0013,Corrective,P4,Closed,Phone,2024-03-15 04:56:27,2024-03-18 04:56:27,TECH0033,4.99,316.78,325.81,642.59
WO0000116,AST001003,LOC0022,Corrective,P1,Closed,Mobile,2024-03-02 01:04:55,2024-03-15 01:04:55,TECH0028,12.37,828.86,246.5,1075.36
WO0000117,AST000173,LOC0015,Inspection,P4,In Progress,Web,2025-09-28 20:35:50,,TECH0001,2.08,133.0,53.63,186.63
WO0000118,AST000104,LOC0024,Preventive,P3,Backlog,Web,2023-03-16 02:27:09,,TECH0059,17.61,968.08,52.03,1020.11
WO0000119,AST000068,LOC0021,Preventive,P1,Closed,Auto Alert,2024-01-18 13:07:45,2024-01-29 13:07:45,TECH0063,9.17,730.34,46.91,777.25
WO0000120,AST001146,LOC0013,Corrective,P4,In Progress,Phone,2025-03-15 07:13:02,,TECH0062,3.34,222.35,4.32,226.67
WO0000121,AST001156,LOC0025,Corrective,P3,In Progress,Mobile,2023-10-01 12:33:18,,TECH0041,3.96,240.8,219.48,460.28
WO0000122,AST000398,LOC0019,Preventive,P2,Backlog,Mobile,2025-12-10 19:39:02,,TECH0049,8.98,519.55,242.3,761.85
WO0000123,AST000397,LOC0001,Corrective,P4,Backlog,Web,2025-03-24 10:25:08,,TECH0059,25.8,2165.65,332.64,2498.29
WO0000124,AST000401,LOC0006,Inspection,P4,Closed,Web,2025-11-01 23:07:56,2025-11-20 23:07:56,TECH0055,5.98,380.15,75.13,455.28
WO0000125,AST000124,LOC0018,Preventive,P4,Closed,Auto Alert,2025-11-05 07:08:26,2025-11-06 07:08:26,TECH0035,3.48,220.87,166.68,387.55
WO0000126,AST000839,LOC0007,Preventive,P1,Backlog,Mobile,2023-04-30 12:50:00,,TECH0007,1.29,97.1,11.3,108.4
WO0000127,AST001181,LOC0022,Corrective,P2,Closed,Auto Alert,2024-05-17 17:46:07,2024-05-24 17:46:07,TECH0029,3.57,287.32,329.49,616.81
WO0000128,AST000434,LOC0009,Inspection,P3,Closed,Web,2025-03-26 07:41:21,2025-03-28 07:41:21,TECH0056,2.01,120.31,48.19,168.5
WO0000129,AST000290,LOC0007,Emergency,P4,In Progress,Mobile,2023-01-10 10:08:17,,TECH0068,1.21,86.22,714.79,801.01
WO0000130,AST000326,LOC0014,Preventive,P2,Closed,Mobile,2024-05-09 23:41:06,2024-05-14 23:41:06,TECH0011,4.56,324.83,139.73,464.56
WO0000131,AST000291,LOC0013,Inspection,P3,Backlog,Web,2025-01-23 12:33:51,,TECH0060,5.13,324.5,90.3,414.8
WO0000132,AST000192,LOC0017,Inspection,P2,Closed,Mobile,2025-05-18 05:03:12,2025-05-30 05:03:12,TECH0051,2.91,178.02,24.71,202.73
WO0000133,AST000896,LOC0017,Corrective,P3,Backlog,Mobile,2024-03-30 11:47:52,,TECH0026,11.08,652.86,203.51,856.37
WO0000134,AST000399,LOC0023,Preventive,P3,In Progress,Auto Alert,2025-08-03 00:02:02,,TECH0067,2.85,214.89,188.56,403.45
WO0000135,AST000622,LOC0024,Preventive,P1,Closed,Web,2025-01-07 15:24:16,2025-01-07 15:24:16,TECH0004,2.01,135.73,160.27,296.0
WO0000136,AST001168,LOC0023,Corrective,P3,Cancelled,Mobile,2023-02-19 19:37:29,,TECH0020,3.37,221.74,302.22,523.96
WO0000137,AST000488,LOC0021,Preventive,P3,Closed,Mobile,2023-11-01 02:23:24,2023-11-18 02:23:24,TECH0006,2.22,128.46,420.13,548.59
WO0000138,AST000158,LOC0014,Preventive,P3,In Progress,Web,2025-10-24 00:29:41,,TECH0034,0.97,73.15,160.03,233.18
WO0000139,AST000226,LOC0008,Emergency,P4,Closed,Phone,2023-01-03 15:17:09,2023-01-14 15:17:09,TECH0054,2.89,197.03,369.14,566.17
WO0000140,AST001124,LOC0001,Preventive,P1,Closed,Web,2023-04-29 07:02:39,2023-05-06 07:02:39,TECH0034,1.0,56.31,61.27,117.58
WO0000141,AST000851,LOC0021,Emergency,P1,In Progress,Mobile,2024-01-13 05:21:38,,TECH0028,1.84,113.22,666.17,779.39
WO0000142,AST000690,LOC0005,Corrective,P3,In Progress,Mobile,2025-12-24 05:21:27,,TECH0014,4.36,316.6,33.34,349.94
WO0000143,AST000131,LOC0011,Inspection,P3,Backlog,Web,2025-02-10 17:56:33,,TECH0024,1.98,93.84,9.45,103.29
WO0000144,AST000810,LOC0010,Preventive,P2,In Progress,Mobile,2023-06-11 16:31:11,,TECH0002,18.27,1181.18,143.4,1324.58
WO0000145,AST000144,LOC0015,Corrective,P4,Closed,Auto Alert,2024-03-06 11:01:01,2024-03-25 11:01:01,TECH0042,2.07,151.86,138.23,290.09
WO0000146,AST000955,LOC0018,Corrective,P2,Backlog,Web,2025-10-25 19:10:37,,TECH0054,4.95,334.04,231.49,565.53
WO0000147,AST000419,LOC0003,Emergency,P2,Backlog,Web,2023-08-28 23:53:46,,TECH0051,11.9,861.38,618.46,1479.84
WO0000148,AST000054,LOC0017,Preventive,P4,Backlog,Phone,2024-09-22 03:39:43,,TECH0063,6.77,298.78,180.0,478.78
WO0000149,AST001036,LOC0022,Preventive,P4,Backlog,Mobile,2024-05-23 02:06:01,,TECH0033,8.52,443.01,101.57,544.58
WO0000150,AST001170,LOC0006,Emergency,P3,In Progress,Auto Alert,2025-04-12 16:52:35,,TECH0019,10.01,740.39,462.54,1202.93
WO0000151,AST000848,LOC0001,Preventive,P1,In Progress,Phone,2025-04-03 19:43:09,,TECH0036,6.15,424.56,178.73,603.29
WO0000152,AST000912,LOC0011,Corrective,P2,In Progress,Phone,2025-07-01 10:42:35,,TECH0048,3.85,240.03,150.35,390.38
WO0000153,AST000539,LOC0022,Preventive,P2,Closed,Web,2023-05-11 18:42:05,2023-05-25 18:42:05,TECH0051,5.45,369.37,71.43,440.8
WO0000154,AST000963,LOC0005,Preventive,P3,Backlog,Web,2024-05-11 23:01:44,,TECH0043,10.08,716.09,296.11,1012.2
WO0000155,AST000235,LOC0011,Corrective,P3,Closed,Mobile,2025-01-27 11:14:36,2025-02-08 11:14:36,TECH0012,6.09,366.29,69.83,436.12
WO0000156,AST000511,LOC0019,Corrective,P2,Closed,Mobile,2024-04-03 19:18:35,2024-04-12 19:18:35,TECH0023,9.63,559.28,730.04,1289.32
WO0000157,AST001092,LOC0018,Corrective,P3,Closed,Mobile,2024-12-31 17:48:03,2025-01-11 17:48:03,TECH0009,10.67,551.28,279.45,830.73
WO0000158,AST000717,LOC0025,Corrective,P3,Closed,Web,2024-11-27 03:53:36,2024-12-06 03:53:36,TECH0020,7.55,600.63,15.14,615.77
WO0000159,AST000736,LOC0005,Inspection,P2,In Progress,Phone,2024-02-10 22:59:29,,TECH0028,5.6,368.11,34.17,402.28
WO0000160,AST000674,LOC0015,Emergency,P2,Closed,Auto Alert,2023-04-20 15:19:01,2023-05-05 15:19:01,TECH0061,12.89,1034.11,275.49,1309.6
WO0000161,AST000186,LOC0018,Preventive,P4,Closed,Auto Alert,2025-11-28 12:26:06,2025-12-09 12:26:06,TECH0027,1.38,71.22,120.99,192.21
WO0000162,AST000118,LOC0003,Preventive,P1,Closed,Web,2025-06-23 11:09:54,2025-06-28 11:09:54,TECH0028,7.4,490.65,224.19,714.84
WO0000163,AST000064,LOC0022,Preventive,P2,In Progress,Mobile,2025-09-06 16:51:18,,TECH0045,6.02,319.68,51.81,371.49
WO0000164,AST000233,LOC0015,Inspection,P1,Closed,Web,2023-11-25 07:19:42,2023-12-02 07:19:42,TECH0070,15.39,1271.07,82.84,1353.91
WO0000165,AST000193,LOC0011,Preventive,P3,Closed,Auto Alert,2023-12-13 04:43:25,2023-12-29 04:43:25,TECH0020,2.36,217.71,84.59,302.3
WO0000166,AST000923,LOC0010,Corrective,P3,Closed,Web,2023-12-21 03:57:05,2024-01-08 03:57:05,TECH0059,6.66,516.41,171.82,688.23
WO0000167,AST000746,LOC0023,Corrective,P3,Cancelled,Phone,2023-02-04 01:04:26,,TECH0065,4.34,233.53,407.99,641.52
WO0000168,AST000594,LOC0025,Corrective,P2,Closed,Mobile,2023-07-05 19:50:06,2023-07-20 19:50:06,TECH0059,19.96,1066.61,65.45,1132.06
WO0000169,AST000451,LOC0018,Inspection,P3,Backlog,Mobile,2023-12-04 14:15:01,,TECH0012,6.86,439.25,19.2,458.45
WO0000170,AST000223,LOC0009,Corrective,P2,Closed,Auto Alert,2025-12-17 04:08:26,2026-01-04 04:08:26,TECH0016,7.89,523.84,51.49,575.33
WO0000171,AST000803,LOC0012,Corrective,P4,Closed,Web,2023-08-13 04:05:33,2023-08-26 04:05:33,TECH0055,0.5,35.1,556.8,591.9
WO0000172,AST001029,LOC0019,Preventive,P4,Backlog,Mobile,2024-07-10 01:21:19,,TECH0030,7.55,526.58,124.32,650.9
WO0000173,AST000692,LOC0002,Corrective,P3,In Progress,Mobile,2024-08-22 05:46:49,,TECH0034,1.44,93.85,187.5,281.35
WO0000174,AST000205,LOC0015,Preventive,P2,Closed,Phone,2024-01-29 23:38:51,2024-02-13 23:38:51,TECH0009,0.78,48.92,129.99,178.91
WO0000175,AST000567,LOC0023,Inspection,P3,Closed,Mobile,2025-10-03 00:36:12,2025-10-05 00:36:12,TECH0012,6.06,344.15,141.98,486.13
WO0000176,AST001109,LOC0017,Corrective,P2,Closed,Web,2023-04-13 01:59:33,2023-04-18 01:59:33,TECH0027,9.93,712.77,111.91,824.68
WO0000177,AST000891,LOC0015,Preventive,P2,Closed,Mobile,2025-08-11 00:28:11,2025-08-18 00:28:11,TECH0050,6.73,277.35,80.36,357.71
WO0000178,AST000906,LOC0002,Preventive,P4,Closed,Mobile,2025-03-25 09:03:58,2025-04-04 09:03:58,TECH0070,1.97,130.01,87.89,217.9
